video_file,label,frame_num,vehicle_id,class_name,centroid_x,centroid_y,bbox_width,bbox_height,speed_px_per_frame,avg_speed_5f,speed_drop_percent,direction_degrees,iou_with_nearest,trajectory_deviation_px,optical_flow_ratio,total_factor_score
sampleC.mp4,accident,21,2,car,342,153,83,66,3.0,1.083,0.0,180.0,0.0,3.162,0.6276,0
sampleC.mp4,accident,21,10,car,460,170,70,71,0.0,0.0,0.0,0.0,0.9913,0.0,0.6276,3
sampleC.mp4,accident,23,1,car,461,169,71,72,1.414,0.683,0.0,-45.0,0.0,1.414,0.8299,0
sampleC.mp4,accident,24,1,car,461,169,71,71,0.0,0.683,0.0,0.0,0.0,1.414,1.3246,0
sampleC.mp4,accident,25,1,car,460,169,71,71,1.0,0.683,0.0,180.0,0.0,1.0,0.6544,0
sampleC.mp4,accident,26,1,car,460,169,71,72,0.0,0.483,0.0,0.0,0.0,1.0,1.648,0
sampleC.mp4,accident,27,1,car,460,169,71,72,0.0,0.483,0.0,0.0,0.0,0.0,0.7616,0
sampleC.mp4,accident,28,1,car,460,169,71,71,0.0,0.2,0.0,0.0,0.0,0.0,1.921,0
sampleC.mp4,accident,29,1,car,460,170,71,72,1.0,0.4,0.0,90.0,0.0,1.0,1.9037,0
sampleC.mp4,accident,29,2,car,336,157,86,68,7.211,2.242,0.0,146.31,0.0,5.0,1.9037,0
sampleC.mp4,accident,30,2,car,336,157,85,67,0.0,2.242,0.0,0.0,0.0,7.211,1.2115,0
sampleC.mp4,accident,31,2,car,336,157,85,68,0.0,2.242,100.0,0.0,0.0,0.0,0.8744,2
sampleC.mp4,accident,32,1,car,459,169,70,71,1.414,0.483,0.0,-135.0,0.0,2.236,1.7282,0
sampleC.mp4,accident,33,1,car,459,169,70,71,0.0,0.483,0.0,0.0,0.0,1.414,0.3331,0
sampleC.mp4,accident,34,1,car,458,170,70,70,1.414,0.766,0.0,135.0,0.0,1.414,0.7508,0
sampleC.mp4,accident,34,2,car,336,157,86,68,0.0,2.042,100.0,0.0,0.0,0.0,0.7508,2
sampleC.mp4,accident,35,1,car,459,170,70,70,1.0,0.966,0.0,0.0,0.0,2.236,0.8267,0
sampleC.mp4,accident,36,1,car,460,170,70,71,1.0,0.966,0.0,0.0,0.0,0.0,1.5066,0
sampleC.mp4,accident,37,1,car,460,171,71,71,1.0,0.883,0.0,90.0,0.0,1.414,1.0009,0
sampleC.mp4,accident,38,1,car,461,171,71,71,1.0,1.083,0.0,0.0,0.0,1.414,1.1617,0
sampleC.mp4,accident,39,1,car,461,171,71,71,0.0,0.8,0.0,0.0,0.0,1.0,0.4866,0
sampleC.mp4,accident,39,2,car,338,158,86,67,2.236,1.889,0.274,26.57,0.0,2.236,0.4866,0
sampleC.mp4,accident,41,1,car,461,171,71,71,0.0,0.6,0.0,0.0,0.0,0.0,0.7109,0
sampleC.mp4,accident,41,5,car,314,82,26,22,3.162,2.265,0.0,18.43,0.0,2.236,0.7109,0
sampleC.mp4,accident,42,1,car,461,171,71,71,0.0,0.4,100.0,0.0,0.0,0.0,0.742,2
sampleC.mp4,accident,42,5,car,314,82,26,22,0.0,1.632,100.0,0.0,0.0,3.162,0.742,2
sampleC.mp4,accident,43,1,car,461,172,71,71,1.0,0.4,0.0,90.0,0.0,1.0,0.2052,0
sampleC.mp4,accident,43,5,car,314,82,25,22,0.0,0.832,100.0,0.0,0.0,0.0,0.2052,2
sampleC.mp4,accident,44,1,car,461,172,71,71,0.0,0.2,0.0,0.0,0.9822,1.0,1.3461,3
sampleC.mp4,accident,44,5,car,314,82,25,22,0.0,0.832,100.0,0.0,0.0,0.0,1.3461,2
sampleC.mp4,accident,44,12,car,461,172,70,71,0.0,0.0,0.0,0.0,0.9822,0.0,1.3461,3
sampleC.mp4,accident,45,1,car,461,172,71,71,0.0,0.2,0.0,0.0,0.9832,0.0,0.7037,3
